Num Rectangles,Rectangle Number,x1,y1,x2,y2
85,1,3173,4429,6590,4884
85,2,1923,3591,7845,3643
85,3,2880,4963,4677,6448
85,4,8355,1201,9474,4604
85,5,2039,486,7351,2162
85,6,509,374,1393,4189
85,7,3750,7172,5020,9668
85,8,7366,4694,9895,7620
85,9,6714,5054,6765,8070
85,10,216,8049,3430,9012
85,11,6841,9628,7687,9994
85,12,1431,5952,2648,6227
85,13,685,6678,1334,7544
85,14,1584,2414,3690,3115
85,15,1381,5387,1924,5441
85,16,2106,4782,2787,5722
85,17,7608,1856,7639,2974
85,18,5296,5958,6140,6797
85,19,5608,8733,6200,9061
85,20,8073,8655,9994,9978
85,21,4860,258,9104,291
85,22,6818,8676,7360,9330
85,23,5124,7013,5908,7250
85,24,4006,2488,6117,3165
85,25,7683,1527,8183,3457
85,26,1440,3497,6296,3520
85,27,2286,6994,3436,8043
85,28,7964,597,9463,635
85,29,131,4287,675,7917
85,30,8664,123,9160,163
85,31,6567,5292,6643,9893
85,32,28,9034,3204,9575
85,33,3282,6612,4792,6949
85,34,5095,3945,5656,4341
85,35,5438,7730,5693,8063
85,36,3037,3780,3255,3866
85,37,2941,9731,6307,9871
85,38,6375,8312,6479,9580
85,39,2498,2263,4816,2273
85,40,6975,5154,7108,6397
85,41,1452,59,3839,430
85,42,1956,6387,2085,7864
85,43,64,3712,445,3796
85,44,9530,3246,9720,4040
85,45,8170,1062,9850,1123
85,46,2898,4517,2980,4835
85,47,6829,3023,6983,3441
85,48,6087,6820,6132,8636
85,49,5243,8245,5272,9510
85,50,9947,5544,9970,8271
85,51,714,4497,2656,4569
85,52,1715,6856,1897,7648
85,53,7170,5461,7193,6427
85,54,788,4588,2299,4671
85,55,3877,3651,4054,3836
85,56,4003,4140,4328,4208
85,57,6396,55,9687,93
85,58,8878,7683,9118,8558
85,59,1514,6306,1931,6463
85,60,9883,422,9902,491
85,61,2953,3312,3944,3365
85,62,2253,3158,2488,3312
85,63,6177,9574,6226,9640
85,64,8286,710,9251,1012
85,65,7963,8289,8391,8556
85,66,7202,2945,7433,3174
85,67,1125,4332,1576,4472
85,68,5419,9580,5861,9627
85,69,1946,4848,1966,5565
85,70,6294,3662,7638,3901
85,71,6463,2701,6880,2870
85,72,7434,7782,7721,9533
85,73,3203,3920,4040,4094
85,74,1816,3697,3012,3889
85,75,9843,3074,9944,3986
85,76,7165,8188,7180,8669
85,77,684,7566,694,7704
85,78,7056,4304,7654,4607
85,79,4552,97,6744,232
85,80,2963,4212,3883,4223
85,81,8020,1030,8092,1274
85,82,1890,5797,2490,5831
85,83,1666,9948,2437,9971
85,84,215,230,286,1152
85,85,1161,5534,1467,5560
