Num Rectangles,Rectangle Number,x1,y1,x2,y2
28,1,130,1416,9287,5675
28,2,133,7297,578,8694
28,3,7803,7695,9748,9343
28,4,4630,6723,6780,9859
28,5,4359,6389,4507,8113
28,6,1163,5774,2065,7874
28,7,5998,484,8693,1394
28,8,7077,5959,7256,8900
28,9,3072,5720,5638,6071
28,10,7304,5749,7784,9918
28,11,3988,8191,4480,9580
28,12,5147,882,5805,1265
28,13,163,6607,476,7129
28,14,1976,7956,3794,8710
28,15,255,124,3851,1289
28,16,295,9523,1690,9914
28,17,3411,6603,3650,7315
28,18,8167,6732,9957,7495
28,19,8522,6180,9732,6424
28,20,50,9119,3040,9161
28,21,6556,47,7048,417
28,22,9489,1093,9885,5038
28,23,834,8294,1162,8505
28,24,1759,5690,9349,5715
28,25,4404,444,4886,533
28,26,3541,7389,3884,7868
28,27,2476,7000,2525,7537
28,28,5729,6235,6852,6272
