Num Rectangles,Rectangle Number,x1,y1,x2,y2
708,1,3216,3152,3453,5253
708,2,5185,4887,8372,7103
708,3,597,2534,2506,6465
708,4,7497,7141,9767,8354
708,5,7850,791,8024,873
708,6,1371,196,8412,629
708,7,5344,4099,8236,4849
708,8,3495,7995,3618,8831
708,9,9380,1081,9947,3413
708,10,5541,2440,8197,2596
708,11,3706,8734,7043,9689
708,12,4771,1115,7586,2427
708,13,2718,5498,3198,9220
708,14,3746,2163,3776,5279
708,15,8649,3842,9433,5163
708,16,326,1662,1832,2353
708,17,4662,2591,4804,3399
708,18,1309,7280,2188,8792
708,19,3754,6249,4469,8575
708,20,7208,9509,8209,9909
708,21,7817,984,8274,1679
708,22,4654,3895,5025,4809
708,23,6424,3908,8176,3994
708,24,2914,3281,3148,4627
708,25,2632,6582,2673,8959
708,26,898,9380,998,9948
708,27,4710,5790,4859,8393
708,28,4810,3039,6684,3557
708,29,8980,5679,9034,5849
708,30,5380,8036,6858,8527
708,31,4469,3139,4591,4365
708,32,15,119,567,1385
708,33,3108,993,4620,1182
708,34,692,7332,1048,7845
708,35,1357,9554,2471,9642
708,36,8934,2206,9026,2781
708,37,2802,9830,4403,9914
708,38,8927,8804,9712,9155
708,39,2040,1372,4387,1622
708,40,4232,1732,4631,2419
708,41,8412,2705,8556,5282
708,42,8796,885,9213,1816
708,43,7317,23,8393,191
708,44,2826,1792,3674,3040
708,45,7466,2796,7650,3526
708,46,143,3247,211,4894
708,47,22,4817,73,8057
708,48,4442,8615,8038,8714
708,49,81,6251,566,6306
708,50,4006,2540,4361,5762
708,51,2645,9654,2708,9936
708,52,3584,810,7103,912
708,53,5069,9819,5958,9829
708,54,7700,2870,8139,3316
708,55,7607,1965,8114,2226
708,56,9486,3587,9836,5409
708,57,4969,4960,4989,5553
708,58,6460,927,7012,950
708,59,3523,3820,3711,4810
708,60,8230,8462,9974,8743
708,61,4913,6205,4942,6220
708,62,300,7823,536,7962
708,63,212,8255,522,9057
708,64,9540,5571,9668,6444
708,65,6575,963,7019,982
708,66,8300,1311,8381,1659
708,67,4716,3734,7147,3753
708,68,5194,7685,5920,7745
708,69,6996,7514,7381,7859
708,70,2812,4617,2901,4883
708,71,1060,8298,1266,8628
708,72,9949,1919,9956,5257
708,73,8480,6172,8638,6658
708,74,516,6466,1889,6705
708,75,5451,7278,6968,7551
708,76,2755,2519,2785,3731
708,77,4625,1009,4631,1094
708,78,1972,1640,2136,2525
708,79,3475,5680,3560,6945
708,80,5030,4127,5145,7901
708,81,3297,5428,3381,9115
708,82,2295,2006,2412,2351
708,83,4689,5011,4784,5178
708,84,898,643,9910,659
708,85,1125,8871,2345,9483
708,86,2682,5028,2896,5345
708,87,3850,2679,3903,5412
708,88,740,330,1145,642
708,89,8653,2196,8699,2714
708,90,8184,8754,8339,9483
708,91,9057,5654,9438,6744
708,92,955,8701,1092,8749
708,93,1300,913,2748,1100
708,94,3579,6987,3716,7565
708,95,8716,3056,9026,3447
708,96,9842,6023,9853,6137
708,97,561,7061,1465,7248
708,98,2136,1295,4080,1306
708,99,2991,5033,3125,5383
708,100,8481,1667,8496,2367
708,101,2822,1343,4276,1363
708,102,6397,677,6534,706
708,103,7201,669,7289,785
708,104,2949,720,4375,765
708,105,3906,3514,3923,5793
708,106,1156,9708,1468,9726
708,107,8488,412,9048,572
708,108,2588,3755,2807,4094
708,109,597,8103,888,9019
708,110,5640,3773,5820,3864
708,111,885,8071,1195,8083
708,112,4559,5600,4618,6630
708,113,415,5526,461,5868
708,114,547,7689,558,8618
708,115,370,2939,587,3294
708,116,8717,5522,8742,7140
708,117,6712,3321,7078,3383
708,118,3467,6160,3473,6600
708,119,8410,777,8671,814
708,120,5110,2740,6815,2820
708,121,7178,3604,7735,3816
708,122,350,4481,372,6088
708,123,131,8313,194,9777
708,124,3437,9189,3671,9829
708,125,1263,326,1284,408
708,126,3814,2216,3844,5711
708,127,7504,678,9486,765
708,128,308,39,5876,88
708,129,2611,4358,2652,6014
708,130,2201,7458,2628,8746
708,131,557,9578,727,9745
708,132,9200,9505,9290,9677
708,133,3708,8577,7802,8609
708,134,9161,6844,9476,6928
708,135,2618,1659,2750,2227
708,136,520,6716,1781,6749
708,137,807,2447,990,2527
708,138,5051,9963,8889,9980
708,139,4597,3212,4652,3658
708,140,9121,9236,9142,9696
708,141,9895,3674,9923,4878
708,142,4867,5174,4907,8080
708,143,233,1482,682,1585
708,144,7599,8919,7973,9143
708,145,9354,9392,9887,9667
708,146,8487,9715,8941,9888
708,147,7111,2603,8004,2706
708,148,944,879,1764,904
708,149,6546,4061,7185,4075
708,150,4395,5266,4772,5350
708,151,306,7354,623,7680
708,152,9539,6694,9648,6812
708,153,3284,9123,3392,9737
708,154,8369,8793,8754,9713
708,155,3691,5960,3728,6808
708,156,5373,7936,7216,8012
708,157,247,3679,445,4452
