Num Rectangles,Rectangle Number,x1,y1,x2,y2
514,1,4708,956,6571,3924
514,2,2713,7360,8562,9249
514,3,4589,98,6107,759
514,4,8535,3113,8807,5552
514,5,7254,6515,9245,7031
514,6,9154,1514,9958,2454
514,7,1336,4514,6568,5232
514,8,7989,2959,8346,4373
514,9,1538,6533,2199,9436
514,10,3292,5779,3747,6093
514,11,425,2615,1348,3838
514,12,605,453,4472,986
514,13,7769,490,9567,657
514,14,8771,5746,9365,6272
514,15,3385,9288,4439,9883
514,16,4422,5619,8503,6435
514,17,3643,2466,4614,4377
514,18,6905,2494,7292,3423
514,19,478,8040,637,8143
514,20,5768,9288,8567,9547
514,21,9700,3452,9959,9472
514,22,4023,7141,6159,7341
514,23,467,4298,908,4330
514,24,6920,4661,7354,5344
514,25,149,5806,2388,5834
514,26,1208,2060,3130,2204
514,27,712,6088,891,6103
514,28,6833,987,7395,1532
514,29,2140,3503,2914,3540
514,30,589,1710,2303,1991
514,31,8628,8482,9499,9744
514,32,27,2204,775,2243
514,33,9573,3421,9697,6327
514,34,330,6481,902,7823
514,35,7397,732,7614,2204
514,36,2322,6612,3653,7197
514,37,270,9850,2201,9952
514,38,3697,6826,6665,7100
514,39,1078,6255,1384,9351
514,40,8844,3125,9511,5680
514,41,1892,6206,2800,6525
514,42,8015,1134,8192,2391
514,43,1778,4031,3081,4453
514,44,1497,3559,1622,3824
514,45,3110,2799,3285,3967
514,46,2491,1672,3442,1789
514,47,5453,5278,6377,5490
514,48,7391,3103,7658,5260
514,49,8284,2143,8988,2463
514,50,5527,9750,6091,9958
514,51,278,1022,2398,1614
514,52,9440,2521,9975,2716
514,53,208,2601,380,3286
514,54,9155,38,9865,212
514,55,6228,223,7024,388
514,56,7798,134,8643,279
514,57,2689,5262,4434,5409
514,58,1365,2805,2054,3154
514,59,355,9495,1501,9610
514,60,3993,6450,6866,6697
514,61,948,172,1118,382
514,62,1396,5253,1520,5506
514,63,9801,275,9808,564
514,64,9130,7042,9148,7455
514,65,823,5562,1823,5783
514,66,9411,1328,9650,1361
514,67,368,9685,3035,9817
514,68,1623,2662,2221,2685
514,69,4240,1207,4622,1420
514,70,8590,7195,8736,8132
514,71,50,5394,62,8699
514,72,9296,2824,9854,3088
514,73,6090,4137,7310,4238
514,74,6344,9688,6741,9994
514,75,4983,9,7175,51
514,76,6851,9884,9966,9975
514,77,1901,217,3871,404
514,78,1052,4055,1363,4445
514,79,9,1438,101,1959
514,80,5789,5544,7455,5557
514,81,8738,1060,8856,1532
514,82,3660,1521,3890,2180
514,83,2287,2525,3216,2795
514,84,82,4209,100,8859
514,85,9528,1118,9595,1318
514,86,3151,2237,4052,2437
514,87,6668,1423,6739,1890
514,88,6801,433,7242,976
514,89,7776,1794,7932,5111
514,90,1593,4006,1691,4347
514,91,2274,3672,2514,3827
514,92,2533,5537,5546,5609
514,93,8347,2923,9193,3084
514,94,2229,8542,2589,9064
514,95,83,3869,402,4104
514,96,1392,2326,3037,2358
514,97,7923,307,9200,334
514,98,8362,2578,8420,2740
514,99,2930,9496,2941,9583
514,100,8122,770,8622,1051
514,101,4612,9366,5127,9594
514,102,7080,6831,7110,7162
514,103,6639,2125,7371,2454
514,104,400,8339,808,9271
514,105,7633,625,7661,2388
514,106,5466,9328,5488,9725
514,107,1265,5925,1319,6136
514,108,2532,8083,2627,8202
514,109,9211,8059,9307,8311
514,110,4863,4019,5328,4355
514,111,8933,7711,9043,8481
514,112,9179,1081,9387,1481
514,113,9541,9200,9657,9541
514,114,3008,1424,4656,1505
514,115,8202,2001,8241,2548
514,116,871,412,4565,429
514,117,9473,7198,9508,8221
514,118,147,7943,191,9280
514,119,339,9959,2928,9997
514,120,7178,182,7354,376
514,121,198,4816,464,5026
514,122,8510,3203,8529,3680
514,123,434,5406,843,5454
514,124,6084,4338,6988,4467
514,125,8353,3590,8396,4048
514,126,4542,2103,4674,2368
514,127,667,2393,1020,2480
514,128,6036,4036,7364,4048
514,129,9369,8050,9442,8454
514,130,102,7957,127,9005
514,131,1847,5684,2405,5786
514,132,1733,3351,2093,3866
514,133,7778,1300,7831,1574
514,134,7839,5185,8206,5351
514,135,3689,6552,3907,6657
514,136,5513,3976,6520,4016
514,137,147,276,523,539
514,138,4111,37,4159,77
514,139,9648,7942,9676,8100
514,140,6585,392,6658,1488
514,141,9357,7036,9368,7077
514,142,8778,7960,8872,8264
514,143,7896,347,9304,393
514,144,6871,3677,7321,3976
514,145,5480,4052,5936,4332
514,146,2279,3076,2573,3392
514,147,1597,5866,2888,5887
514,148,7674,3073,7711,4667
